,CASE_SUBMITTED_DAY,CASE_SUBMITTED_MONTH,CASE_SUBMITTED_YEAR,DECISION_DAY,DECISION_MONTH,DECISION_YEAR,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_STATE,EMPLOYER_COUNTRY,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H-1B_DEPENDENT,WILLFUL_VIOLATOR,WORKSITE_STATE,WORKSITE_POSTAL_CODE,CASE_STATUS
2493,11,10,2016,19,10,2016,H1B,FRED HUTCHINSON CANCER RESEARCH CENTER,WA,UNITED STATES OF AMERICA,ANALYSTS,541710.0,1,Y,53706.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,59333.28,0.0,Year,N,N,WA,98109,CERTIFIEDWITHDRAWN
2494,9,3,2017,17,5,2017,H1B,MARK INFOTECH INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,55910.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,66000.0,77000.0,Year,Y,N,NJ,8816,CERTIFIEDWITHDRAWN
2495,28,3,2017,3,4,2017,H1B,FREMONT VETERINARY CLINIC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,54194.0,1,Y,90126.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,90126.0,0.0,Year,N,N,CA,95205,DENIED
2496,6,1,2017,26,1,2017,H1B,IBM CORPORATION,NC,UNITED STATES OF AMERICA,ANALYSTS,54151.0,1,Y,71802.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,71802.0,74192.4,Year,N,N,OR,97005,CERTIFIEDWITHDRAWN
2497,13,3,2017,17,3,2017,H1B,SYMPHONY EYC SOLUTIONS LLC,GA,UNITED STATES OF AMERICA,ENGINEERS,541519.0,1,Y,55869.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,55869.0,87500.0,Year,N,N,GA,30338,CERTIFIED
2498,25,4,2017,10,5,2017,H1B,TECH MATRIX INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,61318.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,62000.0,0.0,Year,Y,N,CA,95035,CERTIFIEDWITHDRAWN
2499,5,1,2016,21,10,2016,H1B,CONCORD PROFESSIONAL SERVICES LLC,MN,UNITED STATES OF AMERICA,ANALYSTS,541990.0,1,Y,96762.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,123000.0,0.0,Year,N,N,PA,19113,CERTIFIEDWITHDRAWN
2500,1,6,2017,6,6,2017,H1B,MAN INVESTMENTS USA HOLDINGS INC,NY,UNITED STATES OF AMERICA,REPORTERS AND CORRESPONDENTS,523920.0,1,Y,85862.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,75000.0,0.0,Year,N,N,MA,2210,DENIED
2501,12,6,2017,16,6,2017,H1B,SOUTHWEST MEDICAL ASSOCIATES LLC,NM,UNITED STATES OF AMERICA,DOCTORS,622110.0,1,Y,49.21,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,119.08,0.0,Hour,N,N,NM,87109,DENIED
2502,8,2,2017,14,2,2017,H1B,ERNST and YOUNG US LLP,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541211.0,1,Y,63086.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,87846.0,0.0,Year,N,N,CA,90017,CERTIFIED
2504,15,2,2017,21,2,2017,H1B,PRUDENCE LAW LLC,MD,UNITED STATES OF AMERICA,MARKETING,5411.0,1,Y,15.24,Hour,Other,2016.0,OFLC ONLINE DATA CENTER,15.5,0.0,Hour,N,N,MD,20850,DENIED
2506,20,2,2017,24,2,2017,H1B,GENERAL ELECTRIC COMPANY,WI,UNITED STATES OF AMERICA,ENGINEERS,334510.0,1,Y,97947.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,110000.0,120000.0,Year,N,N,WI,53226,CERTIFIED
2508,11,3,2016,1,2,2017,H1B,TAVANT TECHNOLOGIES INC,CA,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,73424.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,75000.0,0.0,Year,Y,N,CA,95054,CERTIFIEDWITHDRAWN
2509,19,6,2017,24,6,2017,H1B,CES USA INC,IL,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,74173.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,74818.0,0.0,Year,Y,N,IL,60440,CERTIFIED
2514,21,3,2016,7,11,2016,H1B,COREMATIQ INC,NJ,UNITED STATES OF AMERICA,SCIENTIST,5416.0,1,Y,50856.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,51000.0,0.0,Year,N,N,IL,60615,CERTIFIEDWITHDRAWN
2516,18,2,2017,24,2,2017,H1B,THE METROHEALTH SYSTEM,OH,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,6221.0,1,Y,58098.0,Year,Other,2016.0,AAMC SURVEY OF RESIDENT FELLOW STIPENDS,59341.0,0.0,Year,N,N,OH,44109,DENIED
2517,6,12,2016,7,12,2016,H1B,EBAY INC,CA,UNITED STATES OF AMERICA,SCIENTIST,454112.0,1,Y,143242.0,Year,Other,2016.0,RADFORD GLOBAL SURVEY,155179.66,0.0,Year,N,N,CA,95131,DENIED
2518,20,3,2017,24,3,2017,H1B,PROSOFT TECHNOLOGIES INC,GA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,63253.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,64000.0,0.0,Year,Y,N,NJ,8540,DENIED
2521,17,3,2017,23,3,2017,H1B,GLOBUS DENTAL PC,CT,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,621210.0,1,Y,138237.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,138237.0,0.0,Year,N,N,CT,6051,CERTIFIED
2522,13,3,2017,20,3,2017,H1B,ECSHIPSCOM LLC,TX,UNITED STATES OF AMERICA,ANALYSTS,541614.0,1,Y,47715.0,Year,OES,2017.0,NONE,48000.0,0.0,Year,N,N,TX,76208,DENIED
2523,18,3,2016,26,4,2017,H1B,ILOGIC INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541511.0,2,Y,59717.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,62200.0,0.0,Year,Y,N,PA,19103,CERTIFIEDWITHDRAWN
2524,7,3,2017,10,3,2017,H1B,GSPANN TECHNOLOGIES INC,CA,UNITED STATES OF AMERICA,MARKETING,541618.0,1,Y,73778.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,75000.0,0.0,Year,Y,N,OR,97006,DENIED
2526,2,11,2016,8,11,2016,H1B,AAXY LLC,TX,UNITED STATES OF AMERICA,SCIENTIST,522292.0,1,Y,42349.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,45781.0,0.0,Year,N,N,PA,15219,CERTIFIED
2528,24,10,2016,26,10,2016,H1B,FORDHAM UNIVERSITY,NY,UNITED STATES OF AMERICA,MARKETING,611310.0,1,Y,72987.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,75000.0,0.0,Year,N,N,NY,10023,DENIED
2529,9,3,2016,11,5,2017,H1B,ALPHA SYNOPSYS INC,MO,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,61797.0,Year,Other,2015.0,OFLC ONLINE DATA CENTER,70000.0,0.0,Year,N,N,NJ,7430,CERTIFIEDWITHDRAWN
2530,15,2,2017,22,2,2017,H1B,200OK LLC,MA,UNITED STATES OF AMERICA,ANALYSTS,51121.0,1,Y,41205.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,48250.0,0.0,Year,N,N,MA,2111,CERTIFIED
2531,26,1,2017,1,2,2017,H1B,INTONE NETWORKS INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541519.0,1,Y,51147.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,Y,N,PA,17101,CERTIFIED
2532,1,7,2016,13,6,2017,H1B,CAPITAL ONE SERVICES LLC,VA,UNITED STATES OF AMERICA,ANALYSTS,522210.0,1,Y,74402.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,90300.0,117200.0,Year,N,N,VA,23238,CERTIFIEDWITHDRAWN
2533,9,3,2017,13,3,2017,H1B,DELOITTE and TOUCHE LLP,PA,UNITED STATES OF AMERICA,DOCTORS,54121.0,15,Y,57500.0,Year,Other,2016.0,WILLIS TOWERS WATSON SURVEY,64000.0,0.0,Year,N,N,CA,95113,DENIED
2534,14,4,2016,31,10,2016,H1B,BACKUPIFY INC,CT,UNITED STATES OF AMERICA,ANALYSTS,541519.0,1,Y,111862.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,112000.0,0.0,Year,N,N,MA,2109,CERTIFIEDWITHDRAWN
2535,16,3,2017,23,3,2017,H1B,MECHDOME INC,CA,UNITED STATES OF AMERICA,ANALYSTS,5112.0,2,Y,96138.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,97000.0,0.0,Year,N,N,CA,94066,DENIED
2536,24,3,2015,9,1,2017,H1B,IDHASOFT INC,GA,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,61318.0,Year,OES,2014.0,OFLC ONLINE DATA CENTER,62000.0,92000.0,Year,Y,N,CA,91203,CERTIFIEDWITHDRAWN
2537,29,6,2016,13,10,2016,H1B,CAPGEMINI AMERICA INC,NY,UNITED STATES OF AMERICA,ANALYSTS,5416.0,2,Y,70200.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,77147.0,151000.0,Year,Y,N,VA,23234,CERTIFIEDWITHDRAWN
2538,20,3,2017,24,3,2017,H1B,ERNST and YOUNG US LLP,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541211.0,1,Y,83013.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,106000.0,0.0,Year,N,N,TX,77010,CERTIFIED
2539,28,3,2017,10,4,2017,H1B,ARIZONA STATE UNIVERSITY,AZ,UNITED STATES OF AMERICA,ANALYSTS,611310.0,1,Y,50930.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,90000.0,0.0,Year,N,N,AZ,85281,CERTIFIEDWITHDRAWN
2540,6,1,2017,12,1,2017,H1B,ACCENTURE LLP,IL,UNITED STATES OF AMERICA,ANALYSTS,5416.0,1,Y,79498.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,79498.0,0.0,Year,N,N,TX,75001,CERTIFIED
2541,3,3,2017,9,3,2017,H1B,HCL AMERICA INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,105643.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,105643.0,126000.0,Year,Y,N,WA,98008,CERTIFIED
2542,18,11,2016,21,11,2016,H1B,PATTERSON TULLY ENTERPRISES LLC,TN,UNITED STATES OF AMERICA,SCIENTIST,54134.0,1,Y,18.0,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,18.0,0.0,Hour,N,N,TN,38138,DENIED
2544,9,3,2016,30,11,2016,H1B,TREDENCE INC,CA,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,75837.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,85000.0,0.0,Year,N,N,AZ,85254,CERTIFIEDWITHDRAWN
2545,24,11,2016,28,11,2016,H1B,THERAPISTS 2 GO OCCUPATIONAL PHYSICAL and SPEECH LANGUAGE PATHOLOGIST S,NY,UNITED STATES OF AMERICA,SCIENTIST,6216.0,1,N,42.24,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,42.24,42.24,Hour,N,N,NY,11791,DENIED
2546,1,2,2016,10,11,2016,H1B,CERNER CORPORATION,MO,UNITED STATES OF AMERICA,ANALYSTS,541512.0,1,Y,65312.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,67000.0,0.0,Year,N,N,MO,64117,CERTIFIEDWITHDRAWN
2547,27,10,2015,17,2,2017,H1B,EMORY UNIVERSITY,GA,UNITED STATES OF AMERICA,ANALYSTS,611310.0,1,Y,63500.0,Year,Other,2015.0,OFLC ONLINE DATA CENTER,82500.0,0.0,Year,N,N,GA,30322,CERTIFIEDWITHDRAWN
2548,23,12,2016,29,12,2016,H1B,JUXTA LABS INC,CA,UNITED STATES OF AMERICA,DOCTORS,511210.0,1,Y,136573.0,Year,OES,2016.0,NONE,180000.0,0.0,Year,N,N,CA,94107,DENIED
2549,28,4,2017,4,5,2017,H1B,NIXSOL INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,67933.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,72000.0,0.0,Year,Y,N,NC,27713,CERTIFIED
2550,13,6,2014,28,1,2017,H1B,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,UNITED STATES OF AMERICA,ANALYSTS,611310.0,1,Y,42910.0,Year,OES,2013.0,OFLC ONLINE DATA CENTER,43000.0,0.0,Year,N,N,NY,10016,CERTIFIEDWITHDRAWN
2551,30,3,2017,5,4,2017,H1B,SBASE TECHNOLOGIES INC,TX,UNITED STATES OF AMERICA,DESIGNERS,541511.0,1,Y,30.69,Hour,OES,2017.0,OFLC ONLINE DATA CENTER,33.09,0.0,Hour,Y,N,NC,27215,CERTIFIED
2552,18,3,2017,22,3,2017,H1B,MAXIM MEDICAL CENTER PA,FL,UNITED STATES OF AMERICA,PUBLIC RELATIONS,6211.0,1,N,34.41,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,35.0,0.0,Hour,N,N,FL,33301,DENIED
2553,28,2,2017,6,3,2017,H1B,YELLOWPAGESCOM LLC,CA,UNITED STATES OF AMERICA,MANAGERS,541890.0,1,Y,127608.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,127608.0,0.0,Year,N,N,CA,91203,CERTIFIED
2554,8,3,2017,13,3,2017,H1B,A10 CONSULTANCY INC,MD,UNITED STATES OF AMERICA,MARKETING,541511.0,1,Y,53810.0,Year,Other,2016.0,ONLINE WAGE LIBRARY,60000.0,0.0,Year,N,N,CA,92841,DENIED
2556,5,3,2016,30,6,2017,H1B,UNIGO INC,TX,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,63357.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,63400.0,0.0,Year,N,N,MA,1702,CERTIFIEDWITHDRAWN
2558,14,3,2017,20,3,2017,H1B,YASH TECHNOLOGIES INC,IL,UNITED STATES OF AMERICA,MARKETING,541512.0,1,Y,63336.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,65000.0,0.0,Year,Y,N,IL,61244,CERTIFIED
2560,9,3,2017,13,3,2017,H1B,PARAM HEALTHCARE and IT SERVICES INC,NJ,UNITED STATES OF AMERICA,HEALTHCARE,541511.0,1,Y,57346.0,Year,Other,2017.0,OFLC ONLINE DATA CENTER,57500.0,0.0,Year,N,N,NJ,8094,DENIED
2561,14,3,2017,20,3,2017,H1B,ONCORRE INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,65083.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,65083.0,0.0,Year,Y,N,NJ,8807,CERTIFIED
2562,11,4,2017,13,4,2017,H1B,PAYPAL INC,CA,UNITED STATES OF AMERICA,PUBLIC RELATIONS,522320.0,1,Y,123030.0,Year,Other,2017.0,RADFORD GLOBAL SURVEY,116850.0,0.0,Year,N,N,CA,95131,DENIED
2563,13,3,2017,20,3,2017,H1B,HARMONY FUNDING INC,CA,UNITED STATES OF AMERICA,ANALYSTS,5312.0,1,Y,92997.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,96000.0,109200.0,Year,N,N,CA,90701,DENIED
2564,31,1,2017,27,6,2017,H1B,TWO SIGMA INVESTMENTS LP,NY,UNITED STATES OF AMERICA,ANALYSTS,523920.0,1,Y,97552.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,150000.0,0.0,Year,N,N,NY,10013,CERTIFIEDWITHDRAWN
2568,7,4,2017,13,4,2017,H1B,HEADSTREAM INC,DE,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,86091.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,100000.0,0.0,Year,Y,N,NY,12207,CERTIFIED
2571,28,11,2016,2,12,2016,H1B,A10 NETWORKS INC,CA,UNITED STATES OF AMERICA,ANALYSTS,541512.0,15,Y,87651.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,87651.0,90000.0,Year,N,N,CA,95134,CERTIFIED
2572,5,2,2017,9,2,2017,H1B,DELOITTE CONSULTING LLP,PA,UNITED STATES OF AMERICA,MATHEMATICIANS AND STATISTICIANS,54161.0,15,Y,71843.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,104000.0,156000.0,Year,N,N,IL,60606,CERTIFIED
2574,1,2,2016,9,1,2017,H1B,INTONE NETWORKS INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541519.0,1,Y,53186.0,Year,Other,2015.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,Y,N,CA,90024,CERTIFIEDWITHDRAWN
2575,17,3,2016,9,1,2017,H1B,SPATE BUSINESS SOLUTIONS LLC,MI,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,58739.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,60000.0,0.0,Year,N,N,IN,46038,CERTIFIEDWITHDRAWN
2576,5,4,2017,11,4,2017,H1B,UST GLOBAL INC,CA,UNITED STATES OF AMERICA,EDUCATION,541511.0,1,Y,41683.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,59000.0,0.0,Year,Y,N,CA,92656,CERTIFIED
2577,20,3,2017,28,3,2017,H1B,PURSUIT INC,TN,UNITED STATES OF AMERICA,ANALYSTS,54151.0,1,Y,63773.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,68500.0,70000.0,Year,N,N,WA,98021,DENIED
2578,18,5,2017,24,5,2017,H1B,LandT TECHNOLOGY SERVICES LIMITED,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541330.0,1,Y,79456.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,79456.0,89000.0,Year,Y,N,SC,29607,CERTIFIED
2579,20,3,2017,28,3,2017,H1B,TATA CONSULTANCY SERVICES LIMITED,MD,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,99154.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,84550.0,114391.0,Year,Y,N,VA,20166,DENIED
2580,8,3,2016,19,10,2016,H1B,OPTIMAL INFOSYSTEMS INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,68869.0,Year,Other,2015.0,ONLINE WAGE LIBRARY,70200.0,0.0,Year,Y,N,NJ,8817,CERTIFIEDWITHDRAWN
2581,25,10,2016,27,10,2016,H1B,VST CONSULTING INC,NJ,UNITED STATES OF AMERICA,ENTERTAINMENT,541512.0,1,Y,71781.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,65500.0,0.0,Year,Y,N,NJ,7470,DENIED
2582,9,3,2017,14,3,2017,H1B,CALIFORNIA STATE UNIVERSITY FULLERTON,CA,UNITED STATES OF AMERICA,PUBLIC RELATIONS,611310.0,1,Y,90000.0,Year,CBA,2014.0,COLLECTIVE BARGAINING AGREEMENT,41376.0,151128.0,Year,N,N,CA,92831,DENIED
2585,10,3,2017,30,6,2017,H1B,CAPITAL ONE SERVICES LLC,VA,UNITED STATES OF AMERICA,ANALYSTS,522210.0,1,Y,69763.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,85500.0,109900.0,Year,N,N,IL,60601,CERTIFIEDWITHDRAWN
2586,11,11,2016,5,12,2016,H1B,MICROSOFT CORPORATION,WA,UNITED STATES OF AMERICA,ANALYSTS,51121.0,1,Y,124675.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,150925.0,0.0,Year,N,N,CA,94089,CERTIFIEDWITHDRAWN
2587,3,3,2016,22,5,2017,H1B,ADVENTIST HEALTH SYSTEM/SUNBELT INC,FL,UNITED STATES OF AMERICA,ANALYSTS,62211.0,1,Y,21.8,Hour,OES,2015.0,OFLC ONLINE DATA CENTER,22.97,0.0,Hour,N,N,FL,32803,CERTIFIEDWITHDRAWN
2589,13,2,2017,15,2,2017,H1B,JAGUAR GROWTH PARTNERS LLC,NY,UNITED STATES OF AMERICA,MARKETING,523930.0,2,Y,95160.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,107000.0,157500.0,Year,N,N,NY,10022,DENIED
2590,23,3,2017,29,3,2017,H1B,DELTA SYSTEM and SOFTWARE INC,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,62754.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,63000.0,0.0,Year,Y,N,TX,75070,DENIED
2592,30,3,2017,5,4,2017,H1B,TATA CONSULTANCY SERVICES LIMITED,MD,UNITED STATES OF AMERICA,ENGINEERS,541511.0,1,Y,54413.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,62500.0,94500.0,Year,Y,N,IN,46580,CERTIFIED
2593,14,3,2017,21,3,2017,H1B,FEDEX CORPORATE SERVICES INC,TN,UNITED STATES OF AMERICA,ANALYSTS,492110.0,1,Y,50170.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,47484.0,80880.0,Year,N,N,TN,38017,DENIED
2594,7,6,2017,13,6,2017,H1B,MASTECH DIGITAL TECHNOLOGIES INC A MASTECH DIGITAL INC COMPANY,PA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,6,Y,107494.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,107494.0,122494.0,Year,Y,N,CA,94086,CERTIFIED
2595,27,3,2017,29,3,2017,E3 Australian,SPRING FERTILITY MANAGEMENT LLC,CA,UNITED STATES OF AMERICA,SCIENTIST,621511.0,1,Y,140000.0,Year,Other,2017.0,MARKET ANALYSIS,140000.0,140000.0,Year,,,CA,94109,DENIED
2596,17,3,2016,13,12,2016,H1B,CBandI INC,TX,UNITED STATES OF AMERICA,ANALYSTS,541330.0,1,Y,78038.0,Year,Other,2015.0,DIETRICH ENGINEERING SALARY SURVEY,96086.0,153737.0,Year,N,N,TX,77042,CERTIFIEDWITHDRAWN
2598,8,6,2017,19,6,2017,H1B,ARKSTEK INC,CO,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,78354.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,80225.0,0.0,Year,Y,N,CA,92127,CERTIFIEDWITHDRAWN
2599,23,3,2017,29,3,2017,H1B,SMALLBOARDCOM,CA,UNITED STATES OF AMERICA,ENGINEERS,541519.0,1,Y,68827.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,68827.0,0.0,Year,Y,N,TX,75023,CERTIFIED
2603,25,5,2017,8,6,2017,H1B,HIGHMARK HEALTH,PA,UNITED STATES OF AMERICA,ACCOUNTANTS,524114.0,1,Y,77646.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,96200.0,0.0,Year,N,N,PA,15222,CERTIFIEDWITHDRAWN
2604,18,4,2017,24,4,2017,H1B,SAMARTIAN MEDICAL CENTER,NY,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,622110.0,1,Y,289411.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,500000.0,0.0,Year,N,N,NY,13601,CERTIFIED
2606,13,3,2015,4,5,2017,H1B,SOFTOVA INC,NJ,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,51626.0,Year,OES,2014.0,OFLC ONLINE DATA CENTER,51626.0,0.0,Year,Y,N,TX,76118,CERTIFIEDWITHDRAWN
2607,6,2,2017,10,2,2017,H1B,ATandT SERVICES INC,TX,UNITED STATES OF AMERICA,ANALYSTS,517210.0,1,Y,85197.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,100320.0,0.0,Year,N,N,TX,75202,CERTIFIED
2608,14,3,2017,21,3,2017,H1B,TRENDLY INC,NY,UNITED STATES OF AMERICA,ANALYSTS,454111.0,1,Y,56202.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,56202.0,73091.0,Year,N,N,NY,10001,CERTIFIEDWITHDRAWN
2609,17,2,2017,24,2,2017,H1B,EXPRESS SCRIPTS SERVICES CO,MO,UNITED STATES OF AMERICA,ANALYSTS,541611.0,1,Y,66186.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,76000.0,0.0,Year,N,N,MO,63121,CERTIFIED
2610,20,2,2017,24,2,2017,H1B,INFOSYS LIMITED,TX,UNITED STATES OF AMERICA,ENGINEERS,541511.0,1,Y,96616.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,96616.0,0.0,Year,Y,N,NJ,7981,CERTIFIED
2611,17,2,2015,22,6,2017,H1B,DIVENSI INC,WA,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,60000.0,Year,OES,2014.0,OFLC ONLINE DATA CENTER,60000.0,87942.0,Year,Y,N,WA,98007,CERTIFIEDWITHDRAWN
2612,20,6,2017,26,6,2017,H1B,BELCAN ENGINEERING GROUP LLC,IL,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541330.0,1,Y,61755.0,Year,Other,2017.0,DIETRICH ENGINEERING SALARY SURVEY,61755.0,0.0,Year,N,N,NC,27527,DENIED
2613,15,2,2017,17,2,2017,H1B,ZILLOW INC,WA,UNITED STATES OF AMERICA,COUNSELORS,531390.0,1,Y,85426.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,85000.0,127500.0,Year,N,N,WA,98101,DENIED
2616,13,4,2017,19,4,2017,H1B,CARECORE NATIONAL LLC,TN,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,5242.0,1,Y,94453.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,95000.0,110000.0,Year,N,N,SC,29910,CERTIFIED
2617,14,12,2016,20,12,2016,H1B,MICROSOFT CORPORATION,WA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,51121.0,1,Y,65666.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,122000.0,0.0,Year,N,N,WA,98052,CERTIFIED
2618,19,4,2017,25,4,2017,H1B,EDWARD AND JUNE KELLOGG FOUNDATION,MI,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,813211.0,1,N,0.0,,,,NONE,15.0,0.0,Hour,N,N,MI,48843,DENIED
2619,16,3,2017,23,3,2017,H1B,MORTGAGE CAPITAL PARTNERS INC,CA,UNITED STATES OF AMERICA,ANALYSTS,5239.0,1,Y,29.68,Hour,OES,2016.0,OFLC ONLINE DATA CENTER,65000.0,0.0,Year,N,N,CA,90025,DENIED
2620,4,5,2017,10,5,2017,H1B,TATA CONSULTANCY SERVICES LIMITED,MD,UNITED STATES OF AMERICA,ENGINEERS,541511.0,1,Y,50294.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,60700.0,88200.0,Year,Y,N,NY,14580,CERTIFIED
2621,24,3,2017,30,3,2017,H1B,CONSTELLIUM ROLLED PRODUCTS RAVENSWOOD LLC,WV,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,331315.0,1,Y,96387.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,120000.0,0.0,Year,N,N,MD,21202,CERTIFIED
2623,18,11,2015,3,10,2016,H1B,OOYALA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,511210.0,1,Y,120349.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,125000.0,0.0,Year,N,N,CA,95054,CERTIFIEDWITHDRAWN
